id;street_name;apartment_or_house_number;city;zipcode;state;country
1;Valentine Isle;application;Laurynland;44583;Small;Kiribati
2;Miller Trace;alarm;North Wainochester;83244;red Chips Soap;French Southern Territories
3;Adaline Plain;Home Namibia;North Alycia;29214;24/7 Common bluetooth;Congo
4;Wilma Junction;Canyon HDD;Cecileview;6505;Factors;Venezuela
5;Gerhard Park;Music;New Dayneview;68326;Investment Account;Spain
6;Vandervort Burgs;Digitized invoice;West Josianne;20794;Georgia Industrial;Sudan
7;Weimann Springs;Chief Credit Card Account;Haneton;57044;Aruba;Vanuatu
8;Gilberto Heights;interactive generating compelling;New Karen;27599;scalable;Central African Republic
9;Yost Circles;index orange;North Ravenville;70685;application quantify Unbranded Plastic Tuna;Bouvet Island (Bouvetoya)
10;Rossie Unions;Highway Ergonomic;West Marcella;32518;pixel withdrawal;Timor-Leste
